file_path,label
processed_data\cats\2157.jpg,0
processed_data\cats\3726.jpg,0
processed_data\dogs\4929.jpg,1
processed_data\cats\3678.jpg,0
processed_data\cats\3158.jpg,0
processed_data\dogs\515.jpg,1
processed_data\other\557.jpg,2
processed_data\dogs\1596.jpg,1
processed_data\cats\4825.jpg,0
processed_data\cats\257.jpg,0
processed_data\dogs\3255.jpg,1
processed_data\dogs\3257.jpg,1
processed_data\dogs\93.jpg,1
processed_data\other\2692.jpg,2
processed_data\other\2732.jpg,2
processed_data\dogs\2433.jpg,1
processed_data\dogs\810.jpg,1
processed_data\dogs\900.jpg,1
processed_data\other\2716.jpg,2
processed_data\dogs\2288.jpg,1
processed_data\cats\3254.jpg,0
processed_data\other\4704.jpg,2
processed_data\other\4988.jpg,2
processed_data\other\1742.jpg,2
processed_data\cats\1187.jpg,0
processed_data\other\3844.jpg,2
processed_data\cats\2753.jpg,0
processed_data\other\666.jpg,2
processed_data\cats\1584.jpg,0
processed_data\cats\2984.jpg,0
processed_data\dogs\4234.jpg,1
processed_data\cats\3351.jpg,0
processed_data\cats\2254.jpg,0
processed_data\other\3324.jpg,2
processed_data\dogs\1380.jpg,1
processed_data\other\925.jpg,2
processed_data\cats\2500.jpg,0
processed_data\cats\3086.jpg,0
processed_data\other\4294.jpg,2
processed_data\dogs\2764.jpg,1
processed_data\cats\2755.jpg,0
processed_data\dogs\3367.jpg,1
processed_data\cats\678.jpg,0
processed_data\cats\3641.jpg,0
processed_data\other\1770.jpg,2
processed_data\other\1579.jpg,2
processed_data\cats\4516.jpg,0
processed_data\other\2336.jpg,2
processed_data\other\423.jpg,2
processed_data\cats\1433.jpg,0
processed_data\other\2013.jpg,2
processed_data\cats\1806.jpg,0
processed_data\cats\2557.jpg,0
processed_data\other\2791.jpg,2
processed_data\cats\335.jpg,0
processed_data\dogs\363.jpg,1
processed_data\dogs\3688.jpg,1
processed_data\other\4016.jpg,2
processed_data\other\1680.jpg,2
processed_data\dogs\3484.jpg,1
processed_data\cats\3374.jpg,0
processed_data\cats\2122.jpg,0
processed_data\other\3632.jpg,2
processed_data\dogs\4862.jpg,1
processed_data\cats\319.jpg,0
processed_data\other\3333.jpg,2
processed_data\other\1147.jpg,2
processed_data\other\922.jpg,2
processed_data\other\4019.jpg,2
processed_data\dogs\4646.jpg,1
processed_data\dogs\3340.jpg,1
processed_data\dogs\1638.jpg,1
processed_data\cats\3070.jpg,0
processed_data\dogs\1691.jpg,1
processed_data\other\3225.jpg,2
processed_data\dogs\2430.jpg,1
processed_data\cats\1521.jpg,0
processed_data\cats\718.jpg,0
processed_data\other\4951.jpg,2
processed_data\cats\1644.jpg,0
processed_data\other\8.jpg,2
processed_data\other\1339.jpg,2
processed_data\cats\1684.jpg,0
processed_data\cats\412.jpg,0
processed_data\cats\2681.jpg,0
processed_data\other\3315.jpg,2
processed_data\dogs\3058.jpg,1
processed_data\cats\4358.jpg,0
processed_data\dogs\860.jpg,1
processed_data\cats\1662.jpg,0
processed_data\other\2309.jpg,2
processed_data\cats\4499.jpg,0
processed_data\cats\670.jpg,0
processed_data\dogs\3631.jpg,1
processed_data\dogs\3871.jpg,1
processed_data\dogs\2253.jpg,1
processed_data\dogs\1060.jpg,1
processed_data\other\918.jpg,2
processed_data\other\3787.jpg,2
processed_data\cats\4458.jpg,0
processed_data\cats\857.jpg,0
processed_data\cats\1673.jpg,0
processed_data\dogs\2967.jpg,1
processed_data\dogs\3636.jpg,1
processed_data\other\879.jpg,2
processed_data\other\3072.jpg,2
processed_data\cats\2653.jpg,0
processed_data\other\817.jpg,2
processed_data\cats\4127.jpg,0
processed_data\cats\2145.jpg,0
processed_data\cats\4347.jpg,0
processed_data\other\1100.jpg,2
processed_data\dogs\3337.jpg,1
processed_data\dogs\4628.jpg,1
processed_data\other\4006.jpg,2
processed_data\other\2364.jpg,2
processed_data\dogs\1450.jpg,1
processed_data\dogs\2054.jpg,1
processed_data\cats\3035.jpg,0
processed_data\dogs\4075.jpg,1
processed_data\cats\2380.jpg,0
processed_data\dogs\135.jpg,1
processed_data\dogs\474.jpg,1
processed_data\cats\931.jpg,0
processed_data\cats\223.jpg,0
processed_data\cats\1664.jpg,0
processed_data\cats\443.jpg,0
processed_data\cats\4812.jpg,0
processed_data\cats\2067.jpg,0
processed_data\other\4104.jpg,2
processed_data\dogs\1943.jpg,1
processed_data\cats\2410.jpg,0
processed_data\dogs\4979.jpg,1
processed_data\dogs\1966.jpg,1
processed_data\cats\3272.jpg,0
processed_data\cats\2912.jpg,0
processed_data\other\1064.jpg,2
processed_data\cats\3486.jpg,0
processed_data\other\1366.jpg,2
processed_data\other\3096.jpg,2
processed_data\dogs\2235.jpg,1
processed_data\other\2953.jpg,2
processed_data\dogs\1916.jpg,1
processed_data\other\1029.jpg,2
processed_data\cats\2781.jpg,0
processed_data\other\1228.jpg,2
processed_data\dogs\2866.jpg,1
processed_data\other\1551.jpg,2
processed_data\dogs\365.jpg,1
processed_data\cats\4692.jpg,0
processed_data\cats\285.jpg,0
processed_data\other\3668.jpg,2
processed_data\dogs\4799.jpg,1
processed_data\other\3568.jpg,2
processed_data\dogs\1320.jpg,1
processed_data\other\2525.jpg,2
processed_data\other\768.jpg,2
processed_data\dogs\1699.jpg,1
processed_data\other\4039.jpg,2
processed_data\dogs\2334.jpg,1
processed_data\cats\4546.jpg,0
processed_data\dogs\4841.jpg,1
processed_data\cats\4343.jpg,0
processed_data\dogs\1039.jpg,1
processed_data\cats\2537.jpg,0
processed_data\other\3804.jpg,2
processed_data\other\4435.jpg,2
processed_data\dogs\1862.jpg,1
processed_data\cats\1503.jpg,0
processed_data\other\439.jpg,2
processed_data\cats\4806.jpg,0
processed_data\cats\1574.jpg,0
processed_data\cats\250.jpg,0
processed_data\cats\3699.jpg,0
processed_data\dogs\3076.jpg,1
processed_data\other\4054.jpg,2
processed_data\dogs\3526.jpg,1
processed_data\cats\3164.jpg,0
processed_data\other\3308.jpg,2
processed_data\dogs\3253.jpg,1
processed_data\dogs\3517.jpg,1
processed_data\cats\4801.jpg,0
processed_data\dogs\842.jpg,1
processed_data\dogs\41.jpg,1
processed_data\cats\3617.jpg,0
processed_data\other\4489.jpg,2
processed_data\other\4929.jpg,2
processed_data\other\2892.jpg,2
processed_data\other\1165.jpg,2
processed_data\other\1655.jpg,2
processed_data\dogs\111.jpg,1
processed_data\cats\3633.jpg,0
processed_data\cats\3848.jpg,0
processed_data\other\4998.jpg,2
processed_data\cats\4038.jpg,0
processed_data\cats\116.jpg,0
processed_data\dogs\2099.jpg,1
processed_data\other\3261.jpg,2
processed_data\cats\598.jpg,0
processed_data\cats\2995.jpg,0
processed_data\other\34.jpg,2
processed_data\cats\2758.jpg,0
processed_data\cats\195.jpg,0
processed_data\dogs\1869.jpg,1
processed_data\dogs\2242.jpg,1
processed_data\other\1483.jpg,2
processed_data\other\3854.jpg,2
processed_data\cats\2257.jpg,0
processed_data\other\4368.jpg,2
processed_data\dogs\1512.jpg,1
processed_data\other\1468.jpg,2
processed_data\cats\4710.jpg,0
processed_data\dogs\4982.jpg,1
processed_data\other\1952.jpg,2
processed_data\cats\3008.jpg,0
processed_data\other\2835.jpg,2
processed_data\dogs\2926.jpg,1
processed_data\other\4024.jpg,2
processed_data\cats\2087.jpg,0
processed_data\other\3579.jpg,2
processed_data\other\1391.jpg,2
processed_data\cats\3011.jpg,0
processed_data\dogs\2147.jpg,1
processed_data\other\1666.jpg,2
processed_data\cats\3651.jpg,0
processed_data\other\2589.jpg,2
processed_data\dogs\4047.jpg,1
processed_data\other\1144.jpg,2
processed_data\cats\4739.jpg,0
processed_data\dogs\3394.jpg,1
processed_data\other\3055.jpg,2
processed_data\cats\4217.jpg,0
processed_data\cats\4968.jpg,0
processed_data\dogs\1262.jpg,1
processed_data\other\2740.jpg,2
processed_data\cats\2289.jpg,0
processed_data\other\982.jpg,2
processed_data\cats\1080.jpg,0
processed_data\other\2244.jpg,2
processed_data\dogs\3630.jpg,1
processed_data\dogs\1762.jpg,1
processed_data\other\3757.jpg,2
processed_data\dogs\4106.jpg,1
processed_data\other\3983.jpg,2
processed_data\dogs\2091.jpg,1
processed_data\cats\4116.jpg,0
processed_data\dogs\582.jpg,1
processed_data\other\4776.jpg,2
processed_data\dogs\3192.jpg,1
processed_data\other\1249.jpg,2
processed_data\dogs\2434.jpg,1
processed_data\dogs\4881.jpg,1
processed_data\other\1417.jpg,2
processed_data\dogs\4919.jpg,1
processed_data\cats\1974.jpg,0
processed_data\dogs\4372.jpg,1
processed_data\cats\3498.jpg,0
processed_data\dogs\1610.jpg,1
processed_data\cats\1383.jpg,0
processed_data\dogs\1010.jpg,1
processed_data\dogs\439.jpg,1
processed_data\dogs\3159.jpg,1
processed_data\cats\819.jpg,0
processed_data\other\2101.jpg,2
processed_data\other\4442.jpg,2
processed_data\cats\3426.jpg,0
processed_data\dogs\2377.jpg,1
processed_data\other\17.jpg,2
processed_data\other\2578.jpg,2
processed_data\cats\1365.jpg,0
processed_data\dogs\734.jpg,1
processed_data\other\4943.jpg,2
processed_data\cats\2445.jpg,0
processed_data\other\1387.jpg,2
processed_data\dogs\2932.jpg,1
processed_data\cats\4682.jpg,0
processed_data\dogs\3397.jpg,1
processed_data\cats\767.jpg,0
processed_data\cats\957.jpg,0
processed_data\dogs\4791.jpg,1
processed_data\other\62.jpg,2
processed_data\cats\1381.jpg,0
processed_data\cats\1852.jpg,0
processed_data\dogs\4022.jpg,1
processed_data\cats\4051.jpg,0
processed_data\cats\3577.jpg,0
processed_data\other\3670.jpg,2
processed_data\dogs\4561.jpg,1
processed_data\other\4289.jpg,2
processed_data\other\1998.jpg,2
processed_data\dogs\3849.jpg,1
processed_data\other\1284.jpg,2
processed_data\dogs\1817.jpg,1
processed_data\dogs\2893.jpg,1
processed_data\dogs\3560.jpg,1
processed_data\cats\252.jpg,0
processed_data\other\889.jpg,2
processed_data\other\3470.jpg,2
processed_data\cats\2277.jpg,0
processed_data\other\810.jpg,2
processed_data\dogs\3132.jpg,1
processed_data\cats\1735.jpg,0
processed_data\dogs\2445.jpg,1
processed_data\dogs\303.jpg,1
processed_data\other\893.jpg,2
processed_data\other\1542.jpg,2
processed_data\other\708.jpg,2
processed_data\other\2089.jpg,2
processed_data\other\1443.jpg,2
processed_data\other\4712.jpg,2
processed_data\dogs\901.jpg,1
processed_data\cats\1366.jpg,0
processed_data\cats\2154.jpg,0
processed_data\dogs\4528.jpg,1
processed_data\dogs\120.jpg,1
processed_data\dogs\2716.jpg,1
processed_data\dogs\3360.jpg,1
processed_data\dogs\1881.jpg,1
processed_data\cats\1980.jpg,0
processed_data\cats\55.jpg,0
processed_data\cats\1063.jpg,0
processed_data\dogs\2640.jpg,1
processed_data\other\2616.jpg,2
processed_data\dogs\2371.jpg,1
processed_data\other\2095.jpg,2
processed_data\other\1170.jpg,2
processed_data\other\829.jpg,2
processed_data\cats\126.jpg,0
processed_data\dogs\1976.jpg,1
processed_data\dogs\3525.jpg,1
processed_data\dogs\4727.jpg,1
processed_data\other\2267.jpg,2
processed_data\dogs\3751.jpg,1
processed_data\cats\2879.jpg,0
processed_data\dogs\2155.jpg,1
processed_data\cats\2619.jpg,0
processed_data\other\4375.jpg,2
processed_data\other\2638.jpg,2
processed_data\cats\2416.jpg,0
processed_data\cats\1998.jpg,0
processed_data\cats\1284.jpg,0
processed_data\other\1358.jpg,2
processed_data\dogs\352.jpg,1
processed_data\other\4229.jpg,2
processed_data\dogs\2074.jpg,1
processed_data\cats\2640.jpg,0
processed_data\cats\383.jpg,0
processed_data\dogs\2304.jpg,1
processed_data\cats\536.jpg,0
processed_data\cats\4068.jpg,0
processed_data\cats\1127.jpg,0
processed_data\dogs\963.jpg,1
processed_data\cats\604.jpg,0
processed_data\dogs\346.jpg,1
processed_data\dogs\4644.jpg,1
processed_data\other\15.jpg,2
processed_data\cats\6.jpg,0
processed_data\dogs\4774.jpg,1
processed_data\other\191.jpg,2
processed_data\cats\883.jpg,0
processed_data\other\137.jpg,2
processed_data\other\2618.jpg,2
processed_data\dogs\393.jpg,1
processed_data\other\2711.jpg,2
processed_data\cats\2645.jpg,0
processed_data\dogs\4567.jpg,1
processed_data\cats\1074.jpg,0
processed_data\other\1079.jpg,2
processed_data\cats\2095.jpg,0
processed_data\dogs\4060.jpg,1
processed_data\dogs\106.jpg,1
processed_data\cats\4216.jpg,0
processed_data\other\2987.jpg,2
processed_data\other\2167.jpg,2
processed_data\dogs\1709.jpg,1
processed_data\cats\4787.jpg,0
processed_data\other\4610.jpg,2
processed_data\dogs\1392.jpg,1
processed_data\other\4873.jpg,2
processed_data\cats\1532.jpg,0
processed_data\cats\674.jpg,0
processed_data\dogs\3043.jpg,1
processed_data\dogs\3826.jpg,1
processed_data\other\3067.jpg,2
processed_data\other\4460.jpg,2
processed_data\dogs\4265.jpg,1
processed_data\other\588.jpg,2
processed_data\other\4654.jpg,2
processed_data\other\462.jpg,2
processed_data\cats\1052.jpg,0
processed_data\dogs\1650.jpg,1
processed_data\dogs\200.jpg,1
processed_data\other\3749.jpg,2
processed_data\other\1613.jpg,2
processed_data\other\1593.jpg,2
processed_data\other\2539.jpg,2
processed_data\dogs\4272.jpg,1
processed_data\other\267.jpg,2
processed_data\other\3139.jpg,2
processed_data\other\4045.jpg,2
processed_data\dogs\4968.jpg,1
processed_data\dogs\3082.jpg,1
processed_data\other\897.jpg,2
processed_data\dogs\189.jpg,1
processed_data\dogs\284.jpg,1
processed_data\other\3819.jpg,2
processed_data\dogs\3275.jpg,1
processed_data\dogs\1368.jpg,1
processed_data\cats\1860.jpg,0
processed_data\cats\1422.jpg,0
processed_data\other\3993.jpg,2
processed_data\cats\236.jpg,0
processed_data\cats\3059.jpg,0
processed_data\cats\763.jpg,0
processed_data\dogs\4107.jpg,1
processed_data\other\793.jpg,2
processed_data\other\2109.jpg,2
processed_data\cats\2329.jpg,0
processed_data\dogs\4655.jpg,1
processed_data\other\2841.jpg,2
processed_data\cats\3607.jpg,0
processed_data\cats\892.jpg,0
processed_data\other\3135.jpg,2
processed_data\dogs\1232.jpg,1
processed_data\dogs\468.jpg,1
processed_data\other\60.jpg,2
processed_data\dogs\2978.jpg,1
processed_data\other\1258.jpg,2
processed_data\other\2592.jpg,2
processed_data\cats\889.jpg,0
processed_data\other\1073.jpg,2
processed_data\dogs\619.jpg,1
processed_data\dogs\3170.jpg,1
processed_data\other\195.jpg,2
processed_data\cats\144.jpg,0
processed_data\other\1083.jpg,2
processed_data\other\337.jpg,2
processed_data\dogs\1429.jpg,1
processed_data\other\4707.jpg,2
processed_data\other\1615.jpg,2
processed_data\dogs\1331.jpg,1
processed_data\cats\1111.jpg,0
processed_data\other\824.jpg,2
processed_data\dogs\2599.jpg,1
processed_data\cats\4580.jpg,0
processed_data\dogs\3247.jpg,1
processed_data\cats\2135.jpg,0
processed_data\other\3928.jpg,2
processed_data\other\1390.jpg,2
processed_data\other\1031.jpg,2
processed_data\other\4509.jpg,2
processed_data\dogs\4908.jpg,1
processed_data\cats\579.jpg,0
processed_data\dogs\942.jpg,1
processed_data\dogs\351.jpg,1
processed_data\cats\1245.jpg,0
processed_data\other\3756.jpg,2
processed_data\other\3808.jpg,2
processed_data\other\1449.jpg,2
processed_data\cats\2142.jpg,0
processed_data\dogs\3852.jpg,1
processed_data\dogs\451.jpg,1
processed_data\dogs\1441.jpg,1
processed_data\other\1837.jpg,2
processed_data\cats\2705.jpg,0
processed_data\other\270.jpg,2
processed_data\other\4112.jpg,2
processed_data\other\4760.jpg,2
processed_data\dogs\3637.jpg,1
processed_data\dogs\2974.jpg,1
processed_data\cats\463.jpg,0
processed_data\other\754.jpg,2
processed_data\other\4315.jpg,2
processed_data\dogs\18.jpg,1
processed_data\dogs\395.jpg,1
processed_data\other\873.jpg,2
processed_data\dogs\4573.jpg,1
processed_data\cats\3541.jpg,0
processed_data\cats\1641.jpg,0
processed_data\other\3374.jpg,2
processed_data\other\1202.jpg,2
processed_data\cats\3674.jpg,0
processed_data\other\906.jpg,2
processed_data\cats\2003.jpg,0
processed_data\other\2373.jpg,2
processed_data\dogs\780.jpg,1
processed_data\other\4070.jpg,2
processed_data\dogs\2110.jpg,1
processed_data\other\4351.jpg,2
processed_data\dogs\1165.jpg,1
processed_data\cats\3082.jpg,0
processed_data\other\1623.jpg,2
processed_data\dogs\246.jpg,1
processed_data\other\1535.jpg,2
processed_data\other\1074.jpg,2
processed_data\other\3704.jpg,2
processed_data\cats\321.jpg,0
processed_data\dogs\1315.jpg,1
processed_data\dogs\1364.jpg,1
processed_data\other\541.jpg,2
processed_data\other\3952.jpg,2
processed_data\dogs\1069.jpg,1
processed_data\dogs\2251.jpg,1
processed_data\dogs\640.jpg,1
processed_data\dogs\4148.jpg,1
processed_data\other\1544.jpg,2
processed_data\dogs\3719.jpg,1
processed_data\other\4144.jpg,2
processed_data\cats\2676.jpg,0
processed_data\other\2175.jpg,2
processed_data\cats\435.jpg,0
processed_data\cats\4437.jpg,0
processed_data\dogs\4360.jpg,1
processed_data\cats\2028.jpg,0
processed_data\dogs\2730.jpg,1
processed_data\other\4990.jpg,2
processed_data\other\4013.jpg,2
processed_data\cats\1658.jpg,0
processed_data\dogs\4579.jpg,1
processed_data\dogs\4448.jpg,1
processed_data\dogs\2857.jpg,1
processed_data\cats\3952.jpg,0
processed_data\cats\3209.jpg,0
processed_data\dogs\973.jpg,1
processed_data\dogs\3074.jpg,1
processed_data\other\573.jpg,2
processed_data\other\4724.jpg,2
processed_data\dogs\336.jpg,1
processed_data\other\2885.jpg,2
processed_data\other\2085.jpg,2
processed_data\dogs\4128.jpg,1
processed_data\dogs\1981.jpg,1
processed_data\cats\4929.jpg,0
processed_data\dogs\3584.jpg,1
processed_data\cats\659.jpg,0
processed_data\dogs\4473.jpg,1
processed_data\other\3399.jpg,2
processed_data\dogs\3048.jpg,1
processed_data\other\960.jpg,2
processed_data\other\638.jpg,2
processed_data\dogs\1499.jpg,1
processed_data\dogs\4250.jpg,1
processed_data\dogs\1851.jpg,1
processed_data\other\1120.jpg,2
processed_data\other\4232.jpg,2
processed_data\dogs\1391.jpg,1
processed_data\other\962.jpg,2
processed_data\other\1668.jpg,2
processed_data\dogs\2549.jpg,1
processed_data\other\1063.jpg,2
processed_data\dogs\4146.jpg,1
processed_data\dogs\3583.jpg,1
processed_data\dogs\1919.jpg,1
processed_data\dogs\1390.jpg,1
processed_data\other\540.jpg,2
processed_data\other\1025.jpg,2
processed_data\other\2247.jpg,2
processed_data\cats\2611.jpg,0
processed_data\cats\2520.jpg,0
processed_data\cats\807.jpg,0
processed_data\other\3216.jpg,2
processed_data\dogs\3963.jpg,1
processed_data\cats\1441.jpg,0
processed_data\dogs\2412.jpg,1
processed_data\cats\1139.jpg,0
processed_data\other\257.jpg,2
processed_data\other\526.jpg,2
processed_data\cats\2314.jpg,0
processed_data\cats\825.jpg,0
processed_data\cats\4757.jpg,0
processed_data\cats\4918.jpg,0
processed_data\other\457.jpg,2
processed_data\dogs\4382.jpg,1
processed_data\cats\3056.jpg,0
processed_data\dogs\3277.jpg,1
processed_data\cats\4013.jpg,0
processed_data\cats\503.jpg,0
processed_data\cats\1867.jpg,0
processed_data\dogs\2977.jpg,1
processed_data\dogs\2249.jpg,1
processed_data\cats\3024.jpg,0
processed_data\dogs\4326.jpg,1
processed_data\cats\3318.jpg,0
processed_data\cats\1392.jpg,0
processed_data\cats\4705.jpg,0
processed_data\dogs\3959.jpg,1
processed_data\cats\2450.jpg,0
processed_data\other\223.jpg,2
processed_data\dogs\4578.jpg,1
processed_data\cats\4952.jpg,0
processed_data\other\454.jpg,2
processed_data\other\366.jpg,2
processed_data\other\3795.jpg,2
processed_data\cats\1418.jpg,0
processed_data\other\107.jpg,2
processed_data\cats\642.jpg,0
processed_data\cats\1679.jpg,0
processed_data\cats\655.jpg,0
processed_data\cats\478.jpg,0
processed_data\cats\3417.jpg,0
processed_data\cats\198.jpg,0
processed_data\dogs\2558.jpg,1
processed_data\other\1914.jpg,2
processed_data\cats\876.jpg,0
processed_data\dogs\932.jpg,1
processed_data\dogs\1550.jpg,1
processed_data\dogs\4806.jpg,1
processed_data\cats\2234.jpg,0
processed_data\other\4078.jpg,2
processed_data\cats\2674.jpg,0
processed_data\dogs\595.jpg,1
processed_data\dogs\1690.jpg,1
processed_data\dogs\1855.jpg,1
processed_data\cats\896.jpg,0
processed_data\dogs\3624.jpg,1
processed_data\dogs\4261.jpg,1
processed_data\cats\2689.jpg,0
processed_data\other\548.jpg,2
processed_data\other\4866.jpg,2
processed_data\other\1824.jpg,2
processed_data\cats\2004.jpg,0
processed_data\other\2730.jpg,2
processed_data\dogs\4264.jpg,1
processed_data\other\2707.jpg,2
processed_data\other\782.jpg,2
processed_data\other\3505.jpg,2
processed_data\other\3707.jpg,2
processed_data\cats\2966.jpg,0
processed_data\dogs\702.jpg,1
processed_data\other\1691.jpg,2
processed_data\other\835.jpg,2
processed_data\cats\4596.jpg,0
processed_data\cats\940.jpg,0
processed_data\other\4977.jpg,2
processed_data\cats\2287.jpg,0
processed_data\cats\805.jpg,0
processed_data\other\1923.jpg,2
processed_data\dogs\1917.jpg,1
processed_data\cats\910.jpg,0
processed_data\cats\2955.jpg,0
processed_data\dogs\2247.jpg,1
processed_data\cats\4545.jpg,0
processed_data\cats\2890.jpg,0
processed_data\other\4510.jpg,2
processed_data\other\2675.jpg,2
processed_data\cats\3389.jpg,0
processed_data\dogs\3022.jpg,1
processed_data\dogs\3167.jpg,1
processed_data\other\1802.jpg,2
processed_data\cats\2739.jpg,0
processed_data\other\2383.jpg,2
processed_data\cats\3655.jpg,0
processed_data\dogs\3840.jpg,1
processed_data\dogs\3386.jpg,1
processed_data\other\3800.jpg,2
processed_data\other\1948.jpg,2
processed_data\dogs\3050.jpg,1
processed_data\other\3884.jpg,2
processed_data\dogs\2243.jpg,1
processed_data\other\4344.jpg,2
processed_data\cats\1680.jpg,0
processed_data\dogs\4472.jpg,1
processed_data\cats\398.jpg,0
processed_data\cats\1744.jpg,0
processed_data\other\221.jpg,2
processed_data\other\1543.jpg,2
processed_data\other\4177.jpg,2
processed_data\other\3641.jpg,2
processed_data\other\4203.jpg,2
processed_data\other\1072.jpg,2
processed_data\cats\320.jpg,0
processed_data\other\2547.jpg,2
processed_data\other\4187.jpg,2
processed_data\dogs\4879.jpg,1
processed_data\dogs\2889.jpg,1
processed_data\other\3717.jpg,2
processed_data\dogs\2448.jpg,1
processed_data\other\1476.jpg,2
processed_data\other\188.jpg,2
processed_data\other\1820.jpg,2
processed_data\other\3348.jpg,2
processed_data\other\866.jpg,2
processed_data\dogs\4950.jpg,1
processed_data\dogs\4547.jpg,1
processed_data\dogs\2681.jpg,1
processed_data\other\349.jpg,2
processed_data\dogs\2976.jpg,1
processed_data\other\2418.jpg,2
processed_data\cats\2310.jpg,0
processed_data\other\909.jpg,2
processed_data\cats\4095.jpg,0
processed_data\other\3742.jpg,2
processed_data\dogs\3993.jpg,1
processed_data\other\3544.jpg,2
processed_data\other\1263.jpg,2
processed_data\other\3958.jpg,2
processed_data\other\1140.jpg,2
processed_data\dogs\3439.jpg,1
processed_data\other\2238.jpg,2
processed_data\dogs\4266.jpg,1
processed_data\other\2152.jpg,2
processed_data\dogs\2224.jpg,1
processed_data\dogs\2363.jpg,1
processed_data\cats\3403.jpg,0
processed_data\cats\1118.jpg,0
processed_data\cats\4871.jpg,0
processed_data\dogs\2679.jpg,1
processed_data\dogs\3325.jpg,1
processed_data\other\4642.jpg,2
processed_data\cats\3634.jpg,0
processed_data\other\1275.jpg,2
processed_data\dogs\2846.jpg,1
processed_data\cats\1717.jpg,0
processed_data\other\1561.jpg,2
processed_data\other\4385.jpg,2
processed_data\other\1795.jpg,2
processed_data\cats\1382.jpg,0
processed_data\dogs\4970.jpg,1
processed_data\other\4046.jpg,2
processed_data\other\1055.jpg,2
processed_data\dogs\373.jpg,1
processed_data\dogs\1138.jpg,1
processed_data\dogs\2350.jpg,1
processed_data\other\2774.jpg,2
processed_data\dogs\2514.jpg,1
processed_data\other\4061.jpg,2
processed_data\cats\557.jpg,0
processed_data\cats\2127.jpg,0
processed_data\dogs\1361.jpg,1
processed_data\dogs\228.jpg,1
